OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
900368,83e51b32,2/27/2015 21:47,Friday,Feb,27,2015,21,3,3,2015,GRAND LARCENY,FELONY,G,7,MANHATTAN,N.Y. POLICE DEPT,988459,198482,"(40.7114712060001, -73.984819274)"
902017,ddf367ac,3/17/2015 12:00,Tuesday,Mar,17,2015,12,6,1,2015,GRAND LARCENY,FELONY,E,67,BROOKLYN,N.Y. POLICE DEPT,999446,171582,"(40.6376247160001, -73.945249009)"
902547,87ef0ed2,3/17/2015 15:00,Tuesday,Mar,17,2015,15,4,8,2015,BURGLARY,FELONY,G,90,BROOKLYN,N.Y. POLICE DEPT,1000006,195400,"(40.702998818, -73.943175617)"
905147,e5f92ac3,3/19/2015 9:00,Thursday,Mar,19,2015,9,5,1,2015,GRAND LARCENY,FELONY,F,41,BRONX,N.Y. POLICE DEPT,1012863,236789,"(40.8165687110001, -73.89662925)"
905148,f81de092,3/19/2015 9:00,Thursday,Mar,19,2015,9,12,8,2015,GRAND LARCENY,FELONY,G,43,BRONX,N.Y. POLICE DEPT,1026295,242689,"(40.8327087980001, -73.848065627)"
905150,6afd09a4,3/19/2015 9:00,Thursday,Mar,19,2015,9,4,7,2015,GRAND LARCENY,FELONY,E,47,BRONX,N.Y. POLICE DEPT,1023077,264473,"(40.8925139660001, -73.859568127)"
905413,570f5aba,3/19/2015 11:00,Thursday,Mar,19,2015,11,4,1,2015,BURGLARY,FELONY,E,114,QUEENS,N.Y. POLICE DEPT,1004550,214801,"(40.7562405520001, -73.9267286369999)"
905418,c109c4f,3/19/2015 11:29,Thursday,Mar,19,2015,11,4,2,2015,GRAND LARCENY,FELONY,G,112,QUEENS,N.Y. POLICE DEPT,1027308,202239,"(40.72167949, -73.84466421)"
909084,93812c20,3/21/2015 13:01,Saturday,Mar,21,2015,13,4,8,2015,GRAND LARCENY,FELONY,E,5,MANHATTAN,N.Y. POLICE DEPT,985460,203308,"(40.7247183370001, -73.9956360209999)"
911714,95acc928,3/25/2015 12:00,Wednesday,Mar,25,2015,12,12,3,2015,GRAND LARCENY,FELONY,F,105,QUEENS,N.Y. POLICE DEPT,1054500,188818,"(40.6846680040001, -73.7467060399999)"
912492,9bf37139,3/25/2015 15:10,Wednesday,Mar,25,2015,15,4,2,2015,GRAND LARCENY,FELONY,F,62,BROOKLYN,N.Y. POLICE DEPT,987061,164953,"(40.6194420910001, -73.989875938)"
912761,b1d9325a,3/25/2015 18:00,Wednesday,Mar,25,2015,18,4,3,2015,GRAND LARCENY,FELONY,F,77,BROOKLYN,N.Y. POLICE DEPT,998388,183625,"(40.670681872, -73.9490358259999)"
913806,fb50517,4/26/2015 1:30,Sunday,Apr,26,2015,1,5,1,2015,GRAND LARCENY,FELONY,G,1,MANHATTAN,N.Y. TRANSIT POLICE,982806,201821,"(40.720636846, -74.0052107779999)"
914599,efef4ec2,4/26/2015 8:30,Sunday,Apr,26,2015,8,5,6,2015,FELONY ASSAULT,FELONY,G,77,BROOKLYN,N.Y. POLICE DEPT,999719,186059,"(40.6773604300001, -73.9442321619999)"
915386,1cccd8be,4/26/2015 16:00,Sunday,Apr,26,2015,16,5,2,2015,GRAND LARCENY,FELONY,G,83,BROOKLYN,N.Y. POLICE DEPT,1009950,192049,"(40.693777815, -73.9073242429999)"
915388,a899544f,4/26/2015 16:00,Sunday,Apr,26,2015,16,5,3,2015,GRAND LARCENY,FELONY,E,13,MANHATTAN,N.Y. POLICE DEPT,987816,208600,"(40.7392429450001, -73.987133263)"
915652,bb01ea39,4/26/2015 17:30,Sunday,Apr,26,2015,17,5,7,2015,ROBBERY,FELONY,F,40,BRONX,N.Y. POLICE DEPT,1007034,236608,"(40.8160888740001, -73.917688689)"
916176,99fa3237,4/26/2015 21:00,Sunday,Apr,26,2015,21,5,2,2015,GRAND LARCENY,FELONY,G,42,BRONX,N.Y. POLICE DEPT,1010492,241990,"(40.8308513370001, -73.905174781)"
