OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
888516,18964b20,1/10/2015 12:00,Saturday,Jan,10,2015,12,1,29,2015,GRAND LARCENY,FELONY,C,103,QUEENS,N.Y. POLICE DEPT,1044279,196235,"(40.7051011090001, -73.783492909)"
888519,84bfbfdd,1/10/2015 12:00,Saturday,Jan,10,2015,12,1,21,2015,GRAND LARCENY,FELONY,B,40,BRONX,N.Y. POLICE DEPT,1009712,233550,"(40.8076882060001, -73.9080253669999)"
888520,47dda462,1/10/2015 12:00,Saturday,Jan,10,2015,12,1,11,2015,BURGLARY,FELONY,C,33,MANHATTAN,N.Y. POLICE DEPT,1002124,247884,"(40.8470495510001, -73.935397213)"
888727,b6c628dc,11/12/2015 14:05,Thursday,Nov,12,2015,14,11,12,2015,ROBBERY,FELONY,A,67,BROOKLYN,N.Y. POLICE DEPT,996956,175340,"(40.6479435410001, -73.954213605)"
888728,ea99c033,11/12/2015 14:15,Thursday,Nov,12,2015,14,11,12,2015,GRAND LARCENY,FELONY,A,101,QUEENS,N.Y. POLICE DEPT,1052908,157429,"(40.59852476, -73.752765596)"
888731,37952f2e,11/12/2015 14:30,Thursday,Nov,12,2015,14,11,12,2015,GRAND LARCENY,FELONY,B,60,BROOKLYN,N.Y. POLICE DEPT,993059,149630,"(40.5773796170001, -73.96829052)"
888733,fa9665a3,11/12/2015 14:30,Thursday,Nov,12,2015,14,11,17,2015,BURGLARY,FELONY,C,71,BROOKLYN,N.Y. POLICE DEPT,994504,180427,"(40.6619094230001, -73.9630419919999)"
888735,246a3681,11/12/2015 14:30,Thursday,Nov,12,2015,14,11,12,2015,ROBBERY,FELONY,A,115,QUEENS,N.Y. POLICE DEPT,1019434,215733,"(40.758751954, -73.873000049)"
888736,2c576ea3,11/12/2015 14:30,Thursday,Nov,12,2015,14,11,21,2015,GRAND LARCENY,FELONY,A,26,MANHATTAN,N.Y. HOUSING POLICE,996279,235478,"(40.8130085290001, -73.9565457689999)"
888738,74976d0e,11/12/2015 14:40,Thursday,Nov,12,2015,14,11,12,2015,GRAND LARCENY,FELONY,A,75,BROOKLYN,N.Y. POLICE DEPT,1014600,186094,"(40.6774179870001, -73.8905826389999)"
888741,51e69be8,11/12/2015 14:45,Thursday,Nov,12,2015,14,11,19,2015,ROBBERY,FELONY,B,20,MANHATTAN,N.Y. POLICE DEPT,987147,220853,"(40.77287456, -73.989542123)"
888744,23622ecc,11/12/2015 15:00,Thursday,Nov,12,2015,15,11,12,2015,GRAND LARCENY,FELONY,C,62,BROOKLYN,N.Y. POLICE DEPT,986583,158084,"(40.6005882320001, -73.9916001129999)"
888747,88d8df87,11/12/2015 15:00,Thursday,Nov,12,2015,15,12,5,2015,GRAND LARCENY,FELONY,B,24,MANHATTAN,N.Y. POLICE DEPT,991419,227632,"(40.7914786860001, -73.974111265)"
888789,822df977,1/10/2015 12:30,Saturday,Jan,10,2015,12,1,10,2015,GRAND LARCENY,FELONY,B,72,BROOKLYN,N.Y. POLICE DEPT,984152,178424,"(40.656417563, -74.000354645)"
